Nama Makanan,Harga,Deskripsi,Waktu Scraping
Oreo Cincau & Bubble,6.500,"Kombinasi Oreo, cincau lembut, dan bubble kenyal yang memikat. Deskripsi ini dibuat oleh AI",2025-05-24 16:47:10
Milo Cincau & Bubble,6.500,Nikmati Milo Cincau & Bubble yang manis dan segar! Deskripsi ini dibuat oleh AI,2025-05-24 16:47:10
Pop Ice avocado cincau & bubble,6.500,Es krim alpukat dengan cincau dan bubble yang menyegarkan. Deskripsi ini dibuat oleh AI,2025-05-24 16:47:10
Coklat Cincau & Bubble,6.500,Nikmati Coklat lembut dengan cincau dan bubble yang kenyal! Deskripsi ini dibuat oleh AI,2025-05-24 16:47:10
pip ice strawberry cincau & bubble,6.500,Nikmati kesegaran pip ice strawberry cincau & bubble yang manis dan creamy. Deskripsi ini dibuat oleh AI,2025-05-24 16:47:10
pop ice permen karet cincau & bubble,6.500,"Nikmati kesegaran es krim biru, cincau, dan bubble kenyal. Deskripsi ini dibuat oleh AI",2025-05-24 16:47:10
Pop Ice mangga cincau & bubble,6.500,Es mangga creamy dengan cincau dan bubble yang kenyal. Deskripsi ini dibuat oleh AI,2025-05-24 16:47:10
pop ice taro cincau & bubble,6.500,"Nikmati kesegaran es taro, cincau hitam, dan bubble lembut! Deskripsi ini dibuat oleh AI",2025-05-24 16:47:10
Pop Ice mangga cincau & bubble,6.500,Es mangga creamy dengan cincau dan bubble yang kenyal. Deskripsi ini dibuat oleh AI,2025-05-24 16:47:10
Pop Ice avocado cincau & bubble,6.500,Es krim alpukat dengan cincau dan bubble yang menyegarkan. Deskripsi ini dibuat oleh AI,2025-05-24 16:47:10
pop ice taro cincau & bubble,6.500,"Nikmati kesegaran es taro, cincau hitam, dan bubble lembut! Deskripsi ini dibuat oleh AI",2025-05-24 16:47:10
pop ice Durian cincau & bubble,6.500,"Nikmati kesegaran durian, cincau, dan bubble yang lezat! Deskripsi ini dibuat oleh AI",2025-05-24 16:47:10
pop ice permen karet cincau & bubble,6.500,"Nikmati kesegaran es krim biru, cincau, dan bubble kenyal. Deskripsi ini dibuat oleh AI",2025-05-24 16:47:10
pip ice strawberry cincau & bubble,6.500,Nikmati kesegaran pip ice strawberry cincau & bubble yang manis dan creamy. Deskripsi ini dibuat oleh AI,2025-05-24 16:47:10
pop ice Anggur cincau & bubble,6.500,"Segar dan manis, kombinasi anggur, cincau, dan bubble kenyal. Deskripsi ini dibuat oleh AI",2025-05-24 16:47:10
Es Cappucino Cincau & Buble,6.500,Nikmati cappuccino lembut dengan cincau dan bubble kenyal. Deskripsi ini dibuat oleh AI,2025-05-24 16:47:10
Coklat Cincau & Bubble,6.500,Nikmati Coklat lembut dengan cincau dan bubble yang kenyal! Deskripsi ini dibuat oleh AI,2025-05-24 16:47:10
Oreo Cincau & Bubble,6.500,"Kombinasi Oreo, cincau lembut, dan bubble kenyal yang memikat. Deskripsi ini dibuat oleh AI",2025-05-24 16:47:10
Milo Cincau & Bubble,6.500,Nikmati Milo Cincau & Bubble yang manis dan segar! Deskripsi ini dibuat oleh AI,2025-05-24 16:47:10
